entry_time,exit_time,signal,entry_price,stop_loss,tp1,tp2,tp3,lot_size,risk_usd,outcome,net_pnl,r_multiple,tp1_hit,tp2_hit,bars_held,balance,bias,soft_score
2024-06-11 11:15:00,2024-06-11 12:30:00,long,2307.01,2302.06,2314.44,2319.39,2326.81,0.05,24.75,sl,-27.6,-1.115,False,False,5,9885.66,bullish,3
2024-06-13 16:00:00,2024-06-13 18:45:00,long,2318.24,2304.67,2338.59,2352.16,2372.52,0.02,27.14,sl,-28.28,-1.042,False,False,11,9857.38,bullish,2
2024-06-14 08:30:00,2024-06-14 11:00:00,long,2310.22,2306.05,2316.47,2320.64,2326.9,0.06,25.02,sl_after_tp2,46.74,1.868,True,True,10,9904.12,bullish,3
2024-06-14 13:00:00,2024-06-14 16:30:00,long,2323.78,2318.43,2331.81,2337.16,2345.18,0.05,26.75,sl_after_tp1,18.47,0.691,True,False,14,9922.59,bullish,3
2024-06-21 10:45:00,2024-06-21 16:15:00,long,2362.95,2355.78,2373.7,2380.87,2391.63,0.03,21.51,sl,-23.22,-1.079,False,False,22,9899.37,bullish,2
2024-06-27 14:30:00,2024-06-28 13:15:00,long,2315.73,2309.11,2325.66,2332.28,2342.21,0.04,26.48,sl_after_tp2,51.85,1.958,True,True,87,9951.22,bullish,3
2024-06-28 13:30:00,2024-06-28 16:30:00,long,2335.62,2330.06,2343.96,2349.52,2357.86,0.04,22.24,sl,-24.52,-1.103,False,False,12,9926.7,bullish,3
2024-07-01 14:15:00,2024-07-01 15:30:00,long,2335.71,2331.41,2342.16,2346.46,2352.91,0.06,25.8,sl,-29.22,-1.133,False,False,5,9897.48,bullish,3
2024-07-02 15:45:00,2024-07-03 10:45:00,long,2327.47,2320.46,2337.98,2344.99,2355.51,0.04,28.04,sl_after_tp2,54.46,1.942,True,True,72,9951.94,bullish,2
2024-07-03 11:00:00,2024-07-03 17:00:00,long,2347.3,2341.07,2356.65,2362.88,2372.22,0.04,24.92,sl_after_tp2,46.3,1.858,True,True,24,9998.24,bullish,3
2024-07-08 13:15:00,2024-07-08 17:45:00,long,2373.01,2368.76,2379.39,2383.64,2390.01,0.06,25.5,sl_after_tp1,17.22,0.675,True,False,18,10015.46,bullish,2
2024-07-10 07:00:00,2024-07-10 15:15:00,long,2368.66,2364.53,2374.85,2378.98,2385.18,0.06,24.78,sl_after_tp2,48.15,1.943,True,True,33,10063.61,bullish,2
2024-07-11 15:45:00,2024-07-17 03:30:00,long,2406.38,2380.19,2445.66,2471.86,2511.14,0.01,26.19,sl_after_tp2,51.33,1.96,True,True,319,10114.94,bullish,3
2024-07-17 06:00:00,2024-07-17 06:15:00,long,2470.99,2466.66,2477.48,2481.81,2488.31,0.06,25.98,sl,-29.4,-1.132,False,False,1,10085.54,bullish,2
2024-07-17 10:45:00,2024-07-17 17:00:00,long,2474.1,2464.54,2488.44,2498.0,2512.34,0.03,28.68,sl,-30.39,-1.06,False,False,25,10055.15,bullish,3
2024-07-18 07:30:00,2024-07-18 11:30:00,long,2467.41,2464.13,2472.33,2475.61,2480.53,0.08,26.24,sl_after_tp1,17.12,0.652,True,False,16,10072.27,bullish,2
2024-07-18 11:45:00,2024-07-18 16:00:00,long,2465.89,2461.07,2473.12,2477.94,2485.17,0.05,24.1,sl,-26.95,-1.118,False,False,17,10045.32,bullish,2
2024-07-26 15:45:00,2024-07-26 17:15:00,long,2377.4,2372.3,2385.05,2390.15,2397.8,0.05,25.5,sl_after_tp2,47.59,1.866,True,True,6,10092.91,bullish,3
2024-07-29 09:30:00,2024-07-29 15:00:00,long,2391.12,2385.85,2399.02,2404.3,2412.2,0.05,26.35,sl,-29.2,-1.108,False,False,22,10063.71,bullish,2
2024-08-01 06:00:00,2024-08-01 11:30:00,long,2443.01,2434.23,2456.18,2464.96,2478.13,0.03,26.34,sl,-28.05,-1.065,False,False,22,10035.66,bullish,2
2024-08-01 14:30:00,2024-08-01 15:30:00,long,2438.47,2432.51,2447.41,2453.37,2462.31,0.04,23.84,sl_after_tp2,45.37,1.903,True,True,4,10081.03,bullish,3
2024-08-02 06:00:00,2024-08-02 15:30:00,long,2458.6,2448.5,2473.75,2483.85,2499.0,0.02,20.2,sl_after_tp1,14.51,0.718,True,False,38,10095.54,bullish,3
2024-08-02 15:45:00,2024-08-02 17:30:00,long,2472.82,2453.65,2501.58,2520.75,2549.5,0.01,19.17,sl,-19.74,-1.03,False,False,7,10075.8,bullish,3
2024-08-05 06:00:00,2024-08-05 13:30:00,long,2443.64,2417.55,2482.77,2508.86,2548.0,0.01,26.09,sl,-26.66,-1.022,False,False,30,10049.14,bullish,3
2024-08-06 06:00:00,2024-08-06 09:00:00,long,2408.61,2396.05,2427.45,2440.01,2458.85,0.02,25.12,sl,-26.26,-1.045,False,False,12,10022.88,bullish,2
2024-08-06 15:15:00,2024-08-06 15:30:00,long,2402.72,2399.61,2407.38,2410.49,2415.16,0.08,24.88,sl,-29.44,-1.183,False,False,1,9993.44,bullish,2
2024-08-13 16:45:00,2024-08-13 17:30:00,long,2472.79,2465.53,2483.68,2490.94,2501.83,0.03,21.78,sl,-23.49,-1.079,False,False,3,9969.95,bullish,2
2024-08-14 09:45:00,2024-08-14 15:30:00,long,2467.32,2462.35,2474.78,2479.75,2487.2,0.05,24.85,sl_after_tp1,17.05,0.686,True,False,23,9987.0,bullish,3
2024-08-15 14:30:00,2024-08-15 15:30:00,long,2461.46,2455.92,2469.77,2475.31,2483.62,0.05,27.7,sl_after_tp1,19.17,0.692,True,False,4,10006.17,bullish,3
2024-08-16 08:45:00,2024-08-16 10:15:00,long,2455.64,2452.61,2460.18,2463.21,2467.76,0.08,24.24,sl,-28.8,-1.188,False,False,6,9977.37,bullish,3
2024-08-16 13:15:00,2024-08-16 15:45:00,long,2466.06,2457.71,2478.59,2486.93,2499.46,0.03,25.05,sl_after_tp2,50.32,2.009,True,True,10,10027.69,bullish,3
2024-08-19 06:00:00,2024-08-19 07:45:00,long,2502.51,2499.03,2507.73,2511.21,2516.43,0.07,24.36,sl,-28.35,-1.164,False,False,7,9999.34,bullish,2
2024-08-19 11:15:00,2024-08-19 12:00:00,long,2505.95,2502.05,2511.8,2515.7,2521.55,0.06,23.4,sl,-26.82,-1.146,False,False,3,9972.52,bullish,2
2024-08-29 06:00:00,2024-08-29 09:15:00,long,2512.83,2509.76,2517.43,2520.5,2525.11,0.08,24.56,sl_after_tp2,43.95,1.789,True,True,13,10016.47,bullish,2
2024-08-29 10:00:00,2024-08-29 15:30:00,long,2516.89,2509.76,2527.58,2534.71,2545.41,0.04,28.52,sl,-30.8,-1.08,False,False,22,9985.67,bullish,2
2024-08-29 16:15:00,2024-08-30 17:15:00,long,2510.52,2501.99,2523.32,2531.85,2544.64,0.03,25.59,sl_after_tp1,18.24,0.713,True,False,96,10003.91,bullish,2
2024-09-05 06:00:00,2024-09-05 10:45:00,long,2496.76,2492.71,2502.84,2506.89,2512.96,0.06,24.3,sl_after_tp2,45.11,1.857,True,True,19,10049.02,bullish,2
2024-09-05 11:30:00,2024-09-05 18:00:00,long,2515.03,2506.34,2528.07,2536.76,2549.79,0.03,26.07,sl,-27.78,-1.066,False,False,26,10021.24,bullish,3
2024-09-06 15:45:00,2024-09-06 16:15:00,long,2522.17,2510.53,2539.63,2551.27,2568.73,0.02,23.28,sl,-24.42,-1.049,False,False,2,9996.82,bullish,3
2024-09-09 15:45:00,2024-09-09 17:00:00,long,2500.82,2497.12,2506.37,2510.07,2515.62,0.07,25.9,sl,-29.89,-1.154,False,False,5,9966.93,bullish,3
2024-09-12 15:15:00,2024-09-12 15:30:00,long,2520.73,2514.41,2530.21,2536.53,2546.01,0.04,25.28,sl_after_tp1,17.68,0.699,True,False,1,9984.61,bullish,2
2024-09-13 10:45:00,2024-09-13 14:30:00,long,2569.66,2563.95,2578.22,2583.93,2592.5,0.04,22.84,sl,-25.12,-1.1,False,False,15,9959.49,bullish,2
2024-09-13 15:30:00,2024-09-17 12:45:00,long,2571.27,2562.98,2583.7,2591.99,2604.43,0.03,24.87,sl_after_tp1,17.68,0.711,True,False,173,9977.17,bullish,3
2024-09-18 14:45:00,2024-09-18 16:30:00,long,2577.36,2571.8,2585.7,2591.26,2599.6,0.04,22.24,sl,-24.52,-1.103,False,False,7,9952.65,bullish,3
2024-09-19 10:00:00,2024-09-19 15:45:00,long,2577.71,2568.06,2592.19,2601.84,2616.31,0.03,28.95,sl_after_tp1,20.76,0.717,True,False,23,9973.41,bullish,2
2024-09-20 06:00:00,2024-09-20 09:45:00,long,2591.64,2588.24,2596.74,2600.14,2605.24,0.07,23.8,tp3,50.75,2.132,True,True,15,10024.16,bullish,3
2024-09-20 10:00:00,2024-09-23 16:45:00,long,2607.89,2598.16,2622.48,2632.22,2646.81,0.03,29.19,sl_after_tp2,56.44,1.934,True,True,119,10080.6,bullish,3
2024-09-26 11:30:00,2024-09-26 14:00:00,long,2668.95,2665.06,2674.78,2678.67,2684.51,0.06,23.34,sl_after_tp2,41.77,1.79,True,True,10,10122.37,bullish,3
2024-09-26 16:00:00,2024-09-26 16:15:00,long,2663.86,2660.5,2668.9,2672.26,2677.3,0.08,26.88,sl,-31.44,-1.17,False,False,1,10090.93,bullish,2
2024-10-01 10:45:00,2024-10-01 16:30:00,long,2645.52,2638.77,2655.64,2662.39,2672.52,0.04,27.0,sl_after_tp2,55.42,2.053,True,True,23,10146.35,bullish,2
2024-10-07 11:15:00,2024-10-07 15:30:00,long,2653.23,2647.65,2661.6,2667.18,2675.55,0.05,27.9,sl,-30.75,-1.102,False,False,17,10115.6,bullish,3
2024-10-08 06:30:00,2024-10-08 09:30:00,long,2645.11,2639.76,2653.14,2658.48,2666.51,0.05,26.75,sl,-29.6,-1.107,False,False,12,10086.0,bullish,2
2024-10-09 13:45:00,2024-10-09 16:00:00,long,2621.06,2615.36,2629.61,2635.31,2643.86,0.04,22.8,sl,-25.08,-1.1,False,False,9,10060.92,bullish,3
2024-10-14 09:30:00,2024-10-14 12:30:00,long,2664.12,2657.55,2673.97,2680.54,2690.4,0.04,26.28,sl,-28.56,-1.087,False,False,12,10032.36,bullish,3
2024-10-14 13:30:00,2024-10-14 13:45:00,long,2659.4,2656.22,2664.17,2667.35,2672.12,0.08,25.44,sl,-30.0,-1.179,False,False,1,10002.36,bullish,2
2024-10-15 15:30:00,2024-10-15 15:45:00,long,2653.82,2649.15,2660.83,2665.5,2672.5,0.05,23.35,sl,-26.2,-1.122,False,False,1,9976.16,bullish,2
2024-10-18 15:30:00,2024-10-18 15:45:00,long,2714.5,2710.26,2720.86,2725.1,2731.46,0.06,25.44,sl,-28.86,-1.134,False,False,1,9947.3,bullish,2
2024-10-21 09:30:00,2024-10-21 13:30:00,long,2727.54,2723.04,2734.29,2738.79,2745.54,0.06,27.0,sl_after_tp1,18.33,0.679,True,False,16,9965.63,bullish,2
2024-10-21 13:45:00,2024-10-21 17:30:00,long,2733.38,2726.5,2743.7,2750.58,2760.9,0.04,27.52,sl,-29.8,-1.083,False,False,15,9935.83,bullish,2
2024-10-22 06:00:00,2024-10-22 20:00:00,long,2731.49,2725.09,2741.09,2747.49,2757.09,0.04,25.6,sl_after_tp2,47.94,1.873,True,True,56,9983.77,bullish,2
2024-10-24 09:30:00,2024-10-24 17:15:00,long,2734.69,2728.24,2744.37,2750.82,2760.49,0.04,25.8,sl,-28.08,-1.088,False,False,31,9955.69,bullish,3
2024-10-25 09:45:00,2024-10-25 10:30:00,long,2732.32,2727.25,2739.92,2745.0,2752.6,0.05,25.35,sl,-28.2,-1.112,False,False,3,9927.49,bullish,3
2024-10-28 10:30:00,2024-10-28 12:15:00,long,2732.91,2728.06,2740.18,2745.04,2752.31,0.05,24.25,sl,-27.1,-1.118,False,False,7,9900.39,bullish,2
2024-10-28 15:15:00,2024-10-29 04:00:00,long,2739.03,2731.96,2749.64,2756.71,2767.31,0.04,28.28,sl_after_tp2,53.97,1.909,True,True,47,9954.36,bullish,3
2024-10-29 10:15:00,2024-10-29 16:00:00,long,2750.01,2744.0,2759.03,2765.04,2774.05,0.04,24.04,sl_after_tp2,46.1,1.918,True,True,23,10000.46,bullish,2
2024-10-29 16:15:00,2024-10-31 15:00:00,long,2768.59,2757.87,2784.67,2795.39,2811.47,0.02,21.44,sl_after_tp1,15.44,0.72,True,False,179,10015.9,bullish,3
2024-11-01 08:00:00,2024-11-01 08:15:00,long,2756.67,2753.22,2761.84,2765.3,2770.47,0.07,24.15,sl,-28.14,-1.165,False,False,1,9987.76,bullish,3
2024-11-01 14:45:00,2024-11-01 16:30:00,long,2753.74,2745.55,2766.02,2774.21,2786.5,0.03,24.57,sl,-26.28,-1.07,False,False,7,9961.48,bullish,3
2024-11-04 09:00:00,2024-11-04 09:45:00,long,2742.7,2736.92,2751.37,2757.15,2765.82,0.04,23.12,sl,-25.4,-1.099,False,False,3,9936.08,bullish,2
2024-11-04 13:00:00,2024-11-04 16:30:00,long,2737.88,2732.91,2745.34,2750.31,2757.76,0.05,24.85,sl_after_tp1,17.05,0.686,True,False,14,9953.13,bullish,2
2024-11-07 14:45:00,2024-11-07 16:15:00,long,2673.65,2667.66,2682.64,2688.63,2697.61,0.04,23.96,sl_after_tp2,46.07,1.923,True,True,6,9999.2,bullish,3
2024-11-08 13:45:00,2024-11-08 14:15:00,long,2691.86,2687.55,2698.32,2702.64,2709.1,0.06,25.86,sl,-29.28,-1.132,False,False,2,9969.92,bullish,3
2024-11-13 06:00:00,2024-11-13 10:00:00,long,2610.19,2603.57,2620.12,2626.74,2636.67,0.04,26.48,sl,-28.76,-1.086,False,False,16,9941.16,bullish,2
2024-11-13 10:45:00,2024-11-13 15:30:00,long,2607.62,2603.89,2613.22,2616.94,2622.54,0.07,26.11,sl_after_tp2,49.17,1.883,True,True,19,9990.33,bullish,3
2024-11-21 14:15:00,2024-11-21 15:00:00,long,2667.05,2661.21,2675.81,2681.65,2690.41,0.04,23.36,sl,-25.64,-1.098,False,False,3,9964.69,bullish,2
2024-11-22 07:00:00,2024-11-22 12:15:00,long,2688.33,2680.29,2700.39,2708.43,2720.49,0.03,24.12,sl_after_tp2,45.42,1.883,True,True,21,10010.11,bullish,3
2024-11-22 13:00:00,2024-11-22 15:15:00,long,2705.96,2694.77,2722.74,2733.94,2750.72,0.02,22.38,sl,-23.52,-1.051,False,False,9,9986.59,bullish,2
2024-11-25 13:15:00,2024-11-25 16:00:00,long,2683.41,2676.23,2694.18,2701.36,2712.13,0.03,21.54,sl,-23.25,-1.079,False,False,11,9963.34,bullish,3
2024-11-26 11:30:00,2024-11-26 15:45:00,long,2625.82,2615.9,2640.7,2650.62,2665.5,0.03,29.76,sl_after_tp1,21.36,0.718,True,False,17,9984.7,bullish,3
2024-11-27 06:00:00,2024-11-27 08:45:00,long,2637.8,2634.61,2642.58,2645.78,2650.56,0.08,25.52,sl_after_tp2,47.26,1.852,True,True,11,10031.96,bullish,2
